nomCommune,codeCommune,codePostal,commentaire
Rochefort,17299,17133,
Rochefort,17299,17134,
Rochefort,17299,17135,
Paris, 92130
Brest, 29000, 29240
Les Abymes, 97142
Sérénac, 81000
Clamart, 92190
Ajaccio, 20167
Ronchin, 59000
Annecy-le-Vieux, 76600
Saint-Germain-en-Laye, 78260, 78600, 78700, 78300, 78240, 78112
Saint-Pol-sur-Mer, 59240
Hellemes-Lille, 59000
Lomme, 59000
